year,population,region,deathCause,deaths
1999,38263303,POLSKA,razem,381415
2001,38242197,POLSKA,razem,363220
2004,38173835,POLSKA,razem,363522
2000,38253955,POLSKA,razem,368028
2003,38190608,POLSKA,razem,365230
2002,38218531,POLSKA,razem,359486
2005,38157055,POLSKA,razem,368285
2006,38125479,POLSKA,razem,369686
2007,38115641,POLSKA,razem,377226
2008,38135876,POLSKA,razem,379399
2009,38167329,POLSKA,razem,384940
2010,38529866,POLSKA,razem,378478
2011,38538447,POLSKA,razem,375501
2012,38533299,POLSKA,razem,384788
2013,38495659,POLSKA,razem,387312
2014,38478602,POLSKA,razem,376467
2015,38437239,POLSKA,razem,394921
2016,38432992,POLSKA,razem,388009
2017,38433558,POLSKA,razem,402852
2018,38411148,POLSKA,razem,414200
2019,38382576,POLSKA,razem,409709
2020,38265013,POLSKA,razem,477355
1999,38263303,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2283
2000,38253955,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2430
2001,38242197,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2313
2002,38218531,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2387
2003,38190608,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2392
2004,38173835,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2231
2005,38157055,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2316
2006,38125479,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2345
2007,38115641,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2274
2008,38135876,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2708
2009,38167329,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2783
2010,38529866,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2806
2011,38538447,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,3091
2012,38533299,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,2567
2013,38495659,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1963
2014,38478602,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1923
2015,38437239,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1915
2016,38432992,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1930
2017,38433558,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1931
2018,38411148,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1831
2019,38382576,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1675
2020,38265013,POLSKA,niektóre choroby zakaźne i pasożytnicze ogółem,1656
1999,38263303,POLSKA,nowotwory złośliwe ogółem,126
2000,38253955,POLSKA,nowotwory złośliwe ogółem,115
2001,38242197,POLSKA,nowotwory złośliwe ogółem,100
2002,38218531,POLSKA,nowotwory złośliwe ogółem,122
2003,38190608,POLSKA,nowotwory złośliwe ogółem,120
2004,38173835,POLSKA,nowotwory złośliwe ogółem,124
2005,38157055,POLSKA,nowotwory złośliwe ogółem,121
2006,38125479,POLSKA,nowotwory złośliwe ogółem,101
2007,38115641,POLSKA,nowotwory złośliwe ogółem,123
2008,38135876,POLSKA,nowotwory złośliwe ogółem,149
2009,38167329,POLSKA,nowotwory złośliwe ogółem,94
2010,38529866,POLSKA,nowotwory złośliwe ogółem,135
2011,38538447,POLSKA,nowotwory złośliwe ogółem,130
2012,38533299,POLSKA,nowotwory złośliwe ogółem,118
2013,38495659,POLSKA,nowotwory złośliwe ogółem,123
2014,38478602,POLSKA,nowotwory złośliwe ogółem,125
2015,38437239,POLSKA,nowotwory złośliwe ogółem,143
2016,38432992,POLSKA,nowotwory złośliwe ogółem,102
2017,38433558,POLSKA,nowotwory złośliwe ogółem,89
2018,38411148,POLSKA,nowotwory złośliwe ogółem,98
2019,38382576,POLSKA,nowotwory złośliwe ogółem,97
2020,38265013,POLSKA,nowotwory złośliwe ogółem,104
1999,38263303,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,83536
2000,38253955,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,86272
2001,38242197,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,88234
2002,38218531,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,89771
2003,38190608,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,90641
2004,38173835,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,91809
2005,38157055,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,92365
2006,38125479,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,93933
2007,38115641,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,95809
2008,38135876,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,95520
2009,38167329,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,96157
2010,38529866,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,96066
2011,38538447,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,96009
2012,38533299,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,98747
2013,38495659,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,98931
2014,38478602,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,100318
2015,38437239,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,105467
2016,38432992,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,105946
2017,38433558,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,106941
2018,38411148,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,109276
2019,38382576,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,108702
2020,38265013,POLSKA,nowotwór złośliwy tchawicy, oskrzela i płuca,108698
1999,38263303,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,81595
2000,38253955,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,84556
2001,38242197,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,86431
2002,38218531,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,87731
2003,38190608,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,88300
2004,38173835,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,89813
2005,38157055,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,90396
2006,38125479,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,91632
2007,38115641,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,92932
2008,38135876,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,93060
2009,38167329,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,93297
2010,38529866,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,92610
2011,38538447,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,92196
2012,38533299,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,94740
2013,38495659,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,94117
2014,38478602,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,95565
2015,38437239,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,100601
2016,38432992,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,99959
2017,38433558,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,99643
2018,38411148,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,101386
2019,38382576,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,100323
2020,38265013,POLSKA,nowotwór złośliwy żołądka, okrężnicy, odbytnicy, złącza jelit i odbytu,99867
1999,38263303,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,14002
2000,38253955,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,14553
2001,38242197,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,14856
2002,38218531,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,14917
2003,38190608,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,14890
2004,38173835,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,15054
2005,38157055,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,14976
